Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public float org.jboss.netty.buffer.AbstractChannelBuffer.readFloat()",3,26,23,"766.67%",0.006880733944954129,0.01124567474048443,0.004364940795530301,"63.44%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setByte(int|int)",67,32,-35,"-52.24%",0.1536697247706422,0.01384083044982699,-0.13982889432081522,"-90.99%"
"public org.jboss.netty.buffer.ChannelBuffer org.jboss.netty.buffer.AbstractChannelBuffer.slice()",9,147,138,"1533.33%",0.020642201834862386,0.06358131487889274,0.04293911304403035,"208.02%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setDouble(int|double)",9,40,31,"344.44%",0.020642201834862386,0.01730103806228374,-0.003341163772578648,"-16.19%"
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.writeComplete(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.WriteCompletionEvent) throws java.lang.Exception",0,6,6,"INF%",0.0,0.0025951557093425604,0.0025951557093425604,"INF%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.getMedium(int)",0,88,88,"INF%",0.0,0.03806228373702422,0.03806228373702422,"INF%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.readMedium()",0,13,13,"INF%",0.0,0.005622837370242215,0.005622837370242215,"INF%"
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.childChannelClosed(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ChildChannelStateEvent) throws java.lang.Exception",0,9,9,"INF%",0.0,0.0038927335640138406,0.0038927335640138406,"INF%"
"public void org.jboss.netty.handler.codec.frame.FrameDecoder.channelClosed(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ChannelStateEvent) throws java.lang.Exception",0,13,13,"INF%",0.0,0.005622837370242215,0.005622837370242215,"INF%"
"public void org.jboss.netty.handler.codec.frame.FrameDecoder.exceptionCaught(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ExceptionEvent) throws java.lang.Exception",0,9,9,"INF%",0.0,0.0038927335640138406,0.0038927335640138406,"INF%"
"public boolean org.jboss.netty.buffer.DynamicChannelBuffer.hasArray()",0,41,41,"INF%",0.0,0.01773356401384083,0.01773356401384083,"INF%"
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.channelInterestChanged(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ChannelStateEvent) throws java.lang.Exception",0,4,4,"INF%",0.0,0.0017301038062283738,0.0017301038062283738,"INF%"
"public void org.jboss.netty.handler.codec.frame.FrameDecoder.messageReceived(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.MessageEvent) throws java.lang.Exception",0,9,9,"INF%",0.0,0.0038927335640138406,0.0038927335640138406,"INF%"
"byte[6]",0,86,86,"INF%",0.0,0.037197231833910036,0.037197231833910036,"INF%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.getBytes(int|byte[]|int|int)",0,6,6,"INF%",0.0,0.0025951557093425604,0.0025951557093425604,"INF%"
"byte[1]",0,1,1,"INF%",0.0,0.00043252595155709344,0.00043252595155709344,"INF%"
"byte[2]",0,1,1,"INF%",0.0,0.00043252595155709344,0.00043252595155709344,"INF%"
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.handleUpstream(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ChannelEvent) throws java.lang.Exception",0,5,5,"INF%",0.0,0.0021626297577854673,0.0021626297577854673,"INF%"
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.channelUnbound(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ChannelStateEvent) throws java.lang.Exception",0,8,8,"INF%",0.0,0.0034602076124567475,0.0034602076124567475,"INF%"
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.channelOpen(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ChannelStateEvent) throws java.lang.Exception",0,5,5,"INF%",0.0,0.0021626297577854673,0.0021626297577854673,"INF%"
"public int org.jboss.netty.buffer.DynamicChannelBuffer.capacity()",0,1115,1115,"INF%",0.0,0.48226643598615915,0.48226643598615915,"INF%"
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.channelBound(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ChannelStateEvent) throws java.lang.Exception",0,7,7,"INF%",0.0,0.003027681660899654,0.003027681660899654,"INF%"
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.channelConnected(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ChannelStateEvent) throws java.lang.Exception",0,9,9,"INF%",0.0,0.0038927335640138406,0.0038927335640138406,"INF%"
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.childChannelOpen(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ChildChannelStateEvent) throws java.lang.Exception",0,5,5,"INF%",0.0,0.0021626297577854673,0.0021626297577854673,"INF%"
"public void org.jboss.netty.handler.codec.frame.FrameDecoder.channelDisconnected(org.jboss.netty.channel.ChannelHandlerContext|org.jboss.netty.channel.ChannelStateEvent) throws java.lang.Exception",0,9,9,"INF%",0.0,0.0038927335640138406,0.0038927335640138406,"INF%"
