Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager45() throws java.io.IOException",10,4,-6,"-60.0%",0.0048828125,0.0020671834625322996,-0.0028156290374677004,"-57.66%"
"public java.lang.Boolean org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectBoolean854() throws java.io.IOException",2,0,-2,"-INF%",0.0009765625,0.0,-0.0009765625,"-INF%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectString914() throws java.io.IOException",1,22,21,"2100.0%",0.00048828125,0.011369509043927648,0.010881227793927648,"2228.48%"
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager339() throws java.io.IOException",2,2,0,"0.0%",0.0009765625,0.0010335917312661498,5.7029231266149784e-05,"5.84%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectString915() throws java.io.IOException",2,1,-1,"-50.0%",0.0009765625,0.0005167958656330749,-0.0004597666343669251,"-47.08%"
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager40() throws java.io.IOException",1,7,6,"600.0%",0.00048828125,0.0036175710594315244,0.0031292898094315244,"640.88%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectString916() throws java.io.IOException",1,1,0,"0.0%",0.00048828125,0.0005167958656330749,2.8514615633074892e-05,"5.84%"
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager49() throws java.io.IOException",2,0,-2,"-INF%",0.0009765625,0.0,-0.0009765625,"-INF%"
"public org.activiti.engine.impl.persistence.entity.DeploymentEntityManager org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectDeploymentEntityManager43() throws java.io.IOException",5,0,-5,"-INF%",0.00244140625,0.0,-0.00244140625,"-INF%"
"public java.lang.String org.activiti.engine.impl.persistence.entity.SerializedObjectSupporter.deserializeObjectString911() throws java.io.IOException",2,0,-2,"-INF%",0.0009765625,0.0,-0.0009765625,"-INF%"
