Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [C,5599,7668,2069,"36.95%",37,54,17,"45.95%",0.2081103181683021,0.2882598398556445,0.0801495216873424,"38.51%",0.0013752601843592031,0.002029998872222849,0.0006547386878636458,"47.61%"
class java.util.ArrayList$SubList,318,327,9,"2.83%",234,106,-128,"-54.7%",0.011819803746654773,0.012292770948460584,0.00047296720180581113,"4.0%",0.008697591436217662,0.003984812601030036,-0.004712778835187626,"-54.18%"
class [Ljava.lang.reflect.GenericDeclaration;,1,37,36,"3600.0%",1,2,1,"100.0%",3.716919417187035e-05,0.0013909251531897297,0.0013537559590178594,"3642.15%",3.716919417187035e-05,7.518514341566107e-05,3.8015949243790716e-05,"102.28%"
class [Lorg.elasticsearch.index.query.SimpleIndexQueryParserTests;,61,13,-48,"-78.69%",19,13,-6,"-31.58%",0.0022673208444840918,0.000488703432201797,-0.0017786174122822948,"-78.45%",0.0007062146892655367,0.000488703432201797,-0.00021751125706373975,"-30.8%"
class org.apache.lucene.store.MockDirectoryWrapper$Throttling,128,483,355,"277.34%",1,1,0,"0.0%",0.004757656853999405,0.018157212134882146,0.013399555280882741,"281.64%",3.716919417187035e-05,3.7592571707830533e-05,4.2337753596018255e-07,"1.14%"
class [[J,1,0,-1,"-INF%",1,0,-1,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%"
class [Lorg.elasticsearch.test.ElasticsearchTestCase;,10,20,10,"100.0%",3,12,9,"300.0%",0.00037169194171870356,0.0007518514341566106,0.00038015949243790705,"102.28%",0.00011150758251561107,0.0004511108604939664,0.00033960327797835535,"304.56%"
class [Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,4,171,167,"4175.0%",3,6,3,"100.0%",0.0001486767766874814,0.006428329762039021,0.00627965298535154,"4223.69%",0.00011150758251561107,0.0002255554302469832,0.00011404784773137213,"102.28%"
class [F,481,1741,1260,"261.95%",52,110,58,"111.54%",0.01787838239666964,0.06544866734333296,0.04757028494666332,"266.08%",0.0019327980969372585,0.0041351828878613585,0.0022023847909241,"113.95%"
class [[[Ljava.util.Locale;,1,0,-1,"-INF%",1,0,-1,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%"
class [[Lorg.junit.rules.RuleChain;,11,3,-8,"-72.73%",3,3,0,"0.0%",0.0004088611358905739,0.0001127777151234916,-0.0002960834207670823,"-72.42%",0.00011150758251561107,0.0001127777151234916,1.270132607880534e-06,"1.14%"
class [[[B,7,0,-7,"-INF%",3,0,-3,"-INF%",0.00026018435920309246,0.0,-0.00026018435920309246,"-INF%",0.00011150758251561107,0.0,-0.00011150758251561107,"-INF%"
class [[[[Lorg.elasticsearch.index.query.SimpleIndexQueryParserTests;,1,0,-1,"-INF%",1,0,-1,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%"
class [[Ljava.lang.reflect.AnnotatedElement;,2,0,-2,"-INF%",2,0,-2,"-INF%",7.43383883437407e-05,0.0,-7.43383883437407e-05,"-INF%",7.43383883437407e-05,0.0,-7.43383883437407e-05,"-INF%"
class [[Ljava.util.List;,4,6,2,"50.0%",2,2,0,"0.0%",0.0001486767766874814,0.0002255554302469832,7.68786535595018e-05,"51.71%",7.43383883437407e-05,7.518514341566107e-05,8.467550719203651e-07,"1.14%"
class [[[[Ljava.util.concurrent.ExecutorService;,1,0,-1,"-INF%",1,0,-1,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%"
class [Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,32,227,195,"609.38%",5,2,-3,"-60.0%",0.0011894142134998512,0.008533513777677531,0.00734409956417768,"617.46%",0.00018584597085935178,7.518514341566107e-05,-0.00011066082744369071,"-59.54%"
class [Ljava.lang.CharSequence;,73,0,-73,"-INF%",48,0,-48,"-INF%",0.0027133511745465358,0.0,-0.0027133511745465358,"-INF%",0.001784121320249777,0.0,-0.001784121320249777,"-INF%"
class [[D,38,38,0,"0.0%",7,7,0,"0.0%",0.0014124293785310734,0.0014285177248975602,1.6088346366486747e-05,"1.14%",0.00026018435920309246,0.00026314800195481375,2.9636427517212914e-06,"1.14%"
class [[[[Lorg.junit.rules.RuleChain;,1,0,-1,"-INF%",1,0,-1,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%"
class [[[[I,8,9,1,"12.5%",4,2,-2,"-50.0%",0.0002973535533749628,0.0003383331453704748,4.097959199551198e-05,"13.78%",0.0001486767766874814,7.518514341566107e-05,-7.349163327182034e-05,"-49.43%"
class [Lorg.junit.rules.TestRule;,18,1,-17,"-94.44%",18,1,-17,"-94.44%",0.0006690454950936663,3.7592571707830533e-05,-0.0006314529233858358,"-94.38%",0.0006690454950936663,3.7592571707830533e-05,-0.0006314529233858358,"-94.38%"
class [[[Lorg.elasticsearch.test.ElasticsearchSingleNodeTest;,156,0,-156,"-INF%",2,0,-2,"-INF%",0.005798394290811775,0.0,-0.005798394290811775,"-INF%",7.43383883437407e-05,0.0,-7.43383883437407e-05,"-INF%"
class org.junit.rules.RuleChain,28870,18022,-10848,"-37.58%",21611,16485,-5126,"-23.72%",1.0730746357418972,0.6774933273185219,-0.39558130842337536,"-36.86%",0.8032634552482902,0.6197135446035863,-0.18354991064470394,"-22.85%"
class [[[[[Lorg.elasticsearch.test.ElasticsearchSingleNodeTest;,1,0,-1,"-INF%",1,0,-1,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%",3.716919417187035e-05,0.0,-3.716919417187035e-05,"-INF%"
class [Ljava.util.concurrent.ExecutorService;,3080,9094,6014,"195.26%",2,2,0,"0.0%",0.11448111804936069,0.34186684711101084,0.22738572906165017,"198.62%",7.43383883437407e-05,7.518514341566107e-05,8.467550719203651e-07,"1.14%"
class [Lorg.junit.rules.RuleChain;,77,25,-52,"-67.53%",60,19,-41,"-68.33%",0.0028620279512340174,0.0009398142926957633,-0.0019222136585382542,"-67.16%",0.0022301516503122213,0.0007142588624487801,-0.0015158927878634412,"-67.97%"
class [Ljava.lang.reflect.Type;,4,3,-1,"-25.0%",4,2,-2,"-50.0%",0.0001486767766874814,0.0001127777151234916,-3.58990615639898e-05,"-24.15%",0.0001486767766874814,7.518514341566107e-05,-7.349163327182034e-05,"-49.43%"
class [[[Ljava.lang.String;,75,14,-61,"-81.33%",6,3,-3,"-50.0%",0.0027876895628902764,0.0005262960039096275,-0.0022613935589806487,"-81.12%",0.00022301516503122213,0.0001127777151234916,-0.00011023744990773053,"-49.43%"
class [[[S,23,5,-18,"-78.26%",4,2,-2,"-50.0%",0.0008548914659530181,0.00018796285853915265,-0.0006669286074138655,"-78.01%",0.0001486767766874814,7.518514341566107e-05,-7.349163327182034e-05,"-49.43%"
class java.lang.Integer,1,1,0,"0.0%",1,1,0,"0.0%",3.716919417187035e-05,3.7592571707830533e-05,4.2337753596018255e-07,"1.14%",3.716919417187035e-05,3.7592571707830533e-05,4.2337753596018255e-07,"1.14%"
class java.lang.Boolean,7003,14430,7427,"106.05%",2,2,0,"0.0%",0.26029586678560807,0.5424608097439946,0.2821649429583865,"108.4%",7.43383883437407e-05,7.518514341566107e-05,8.467550719203651e-07,"1.14%"
class [J,1064,766,-298,"-28.01%",189,266,77,"40.74%",0.03954802259887006,0.028795909928198186,-0.010752112670671873,"-27.19%",0.007024977698483497,0.009999624074282922,0.0029746463757994255,"42.34%"
