Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][][3]",1,0,-1,"-INF%",3.6934441366574334e-05,0.0,-3.6934441366574334e-05,"-INF%"
"java.util.Locale[][0]",53,0,-53,"-INF%",0.0019575253924284395,0.0,-0.0019575253924284395,"-INF%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][][0]",3,0,-3,"-INF%",0.00011080332409972299,0.0,-0.00011080332409972299,"-INF%"
"java.util.Locale[][2]",14,0,-14,"-INF%",0.0005170821791320407,0.0,-0.0005170821791320407,"-INF%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][][1]",1,0,-1,"-INF%",3.6934441366574334e-05,0.0,-3.6934441366574334e-05,"-INF%"
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.TEST_DIRECTORY",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanMultiTermFuzzyTermQuery() throws java.io.IOException",123,106,-17,"-13.82%",0.004542936288088642,0.003943012312613919,-0.0005999239754747232,"-13.21%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testBoostingQueryBuilder() throws java.io.IOException",118,122,4,"3.39%",0.004358264081255771,0.004538183982442436,0.00017991990118666496,"4.13%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter12() throws java.io.IOException",130,126,-4,"-3.08%",0.004801477377654663,0.004686976899899564,-0.00011450047775509852,"-2.38%"
"randoop.operation.ArrayElementSet@5a5927b4",27,0,-27,"-INF%",0.000997229916897507,0.0,-0.000997229916897507,"-INF%"
"public static int org.elasticsearch.test.ElasticsearchTestCase.iterations(int|int)",112,121,9,"8.04%",0.004136657433056325,0.0045009857530781535,0.0003643283200218282,"8.81%"
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_WEEKLY",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter11() throws java.io.IOException",106,104,-2,"-1.89%",0.003915050784856879,0.003868615853885355,-4.6434930971523975e-05,"-1.19%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testFuzzyQuery() throws java.io.IOException",102,97,-5,"-4.9%",0.0037673130193905816,0.0036082282483353794,-0.0001590847710552022,"-4.22%"
"randoop.operation.ArrayElementSet@4b3742c4",1,0,-1,"-INF%",3.6934441366574334e-05,0.0,-3.6934441366574334e-05,"-INF%"
"public static boolean org.elasticsearch.test.ElasticsearchTestCase.terminate(org.elasticsearch.threadpool.ThreadPool) throws java.lang.InterruptedException",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
